name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kanpur,2022-01-01,20.3,11,14.4,20.3,11,14.4,10.6,80.5,0,0,0,,,,,9.4,281,1021.6,38.3,1.5,169.9,14.6,6,,2022-01-01T06:56:48,2022-01-01T17:27:37,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-02,20.5,7.7,13.4,20.5,7.7,13.4,10.4,83.5,0,0,0,,,,,9.4,270.5,1019.8,47.3,1.8,159.3,13.8,6,,2022-01-02T06:57:04,2022-01-02T17:28:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-03,21,6.7,13.2,21,6.7,13.2,10,83.1,0,0,0,,,,,7.6,283.2,1018.1,8,1.3,151.3,13,6,,2022-01-03T06:57:19,2022-01-03T17:28:59,0,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-04,22.9,7.7,14.6,22.9,7.7,14.6,11.4,82.7,0,0,0,,,,,8.6,240.2,1017.4,2.6,1,164.2,14.3,6,,2022-01-04T06:57:32,2022-01-04T17:29:41,0.05,Clear,Clear conditions throughout the day.,clear-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-05,17.1,9.8,13.8,17.1,9.8,13.8,12.7,92.6,0,0,0,,,,,7.6,94.2,1017.3,75.9,0.7,118,10.4,6,,2022-01-05T06:57:44,2022-01-05T17:30:23,0.08,Partially cloudy,Partly cloudy throughout the day.,fog,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-06,18.5,13,14.3,18.5,13,14.3,13.2,93.2,10.8,100,20.83,rain,,,,16.9,79.4,1016.9,92.2,1.2,80.3,7.1,4,,2022-01-06T06:57:54,2022-01-06T17:31:06,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-07,18.9,12.6,15.8,18.9,12.6,15.8,14.6,92.8,3,100,4.17,rain,,,,10.8,81.9,1017.9,90.6,1.5,61.1,5.1,3,,2022-01-07T06:58:03,2022-01-07T17:31:50,0.15,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-08,19.6,15,16.9,19.6,15,16.9,15.7,92.8,3.2,100,12.5,rain,,,,18.4,111,1016.7,93.5,2.1,68.7,6.1,3,,2022-01-08T06:58:11,2022-01-08T17:32:34,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-09,21.4,14.8,16.5,21.4,14.8,16.5,15.2,92.1,0.8,100,4.17,rain,,,,18.4,96.3,1014.8,85.4,2.1,95.2,8.2,4,,2022-01-09T06:58:17,2022-01-09T17:33:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-10,21.4,14,17.3,21.4,14,17.3,15.7,90.3,0,0,0,,0,0,9.4,9.4,283.5,1016.2,74.9,2.7,184.1,16,7,10,2022-01-10T06:58:21,2022-01-10T17:34:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-11,21,12.6,16.2,21,12.6,16.2,14.6,90.8,0,0,0,rain,0,0,11.9,7.6,277.5,1016.6,60.9,2.7,159.4,13.8,7,10,2022-01-11T06:58:24,2022-01-11T17:34:50,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
kanpur,2022-01-12,20.4,12,15.4,20.4,12,15.4,12.1,82.4,0,0,0,,0,0,14.8,14.8,297.8,1016.5,57.3,2.4,165,14.3,7,10,2022-01-12T06:58:25,2022-01-12T17:35:36,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,42469099999"
kanpur,2022-01-13,19.5,8,13.3,19.5,8,13.3,10.2,82.8,0,0,0,,0,0,11.5,11.2,316.2,1017.3,28,2.7,167.8,14.5,7,10,2022-01-13T06:58:25,2022-01-13T17:36:22,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42367099999,42369099999,VILK,remote,42469099999"
